Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q8
38,24,Female,Indian,India,Master Degree,,Psychology,,Therapist ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
39,25,Male,Indian,Germany,Bachelor Degree,Computer Engineering,AI/Robotics,,Working student Embedded AI,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
40,31,Male,Bosnian,Germany,Master Degree,,Engineering,,Software Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
41,29,Male,syrian,Germany,High School,,Engineering,,Computer science engineering,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree
42,22,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
43,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
44,24,Male,Indian,Germany,Bachelor Degree,,Information Services,,Software Developer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Neutral,,Strongly agree
47,37,Female,Egyptian,Egypt,Bachelor Degree,,Other,Computer science,Video editor,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree
48,23,Male,Bosnian,Bosnia and Herzegovina ,Other,Student,Other,N/A,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,Strongly agree
49,26,Male,Spanish,Spain,Master Degree,,Education,,Predoctoral Researcher,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
51,20,Female,Bosnian,Bosnia and Herzegovina,High School,I went to medical high school but currently I'm in my final year at the Faculty of Electrical Engineering,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
52,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
55,21,Female,German ,Germany ,High School,,Education,,Teaching ,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral
56,20,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree
58,29,Female,Bosnian,Bosnia and Herzegovina,Master Degree,,Engineering,,Data Analyst,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
59,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat agree
60,24,Male,Bosnian ,Bosnia and Herzegovina,High School,,Engineering,,Software developer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,Strongly agree
61,24,Male,Indian,Germany,Bachelor Degree,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree
63,22,Male,Bosniak,Bosnia and Herzegovina,Other,Associate degree,Other,N/A,N/A,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,,Somewhat agree
64,25,Male,Bosnia and Herzegovina,Austria,Bachelor Degree,Automatic Control and Mechatronics,Engineering,,ASIC Pre-Silicon Digital design and Verification,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,,Somewhat agree
65,20,Female,BiH,Bosna i Hercegovina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,Somewhat agree
