Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,,I could see the reasons behind choosing this method (visual) for the explanation.
19,20,Male,Bosnian,Bosnia and Herzegovina,High School,1st year of college,Engineering,,Unemployed,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
22,20,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,Student,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,4,4,3,5,,4
23,20,Female,Bosnian,Bosnia and Herzegowina,High School,,Other,N/A,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,4,5,5,,5
25,25,Male,German/Bosnian,Germany,Master Degree,,Healthcare,,Physician,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,4,2,2,2,5,4,1,,5
26,20,Male,Bošnjak,Bosna i Hercegovina,High School,,Other,N/A,Student,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,3,4,3,3,3,3,,2
27,23,Female,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,N/A,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,4,5,4,,5
29,20,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,High school of electrical engineering - computing and informatics  ,Other,N/A,Unemployed-student  ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,4,4,4,4,,3
30,20,Female,Bošnjakinja,BiH,High School,,Other,student,/,No,No,No,Yes,Chair_2,Bookshelf_1,Moving human_4,5,5,5,5,5,5,5,,5
31,21,Male,Croatian/Bosnian,Bosnia and Herzegovina,High School,,Engineering,,"Unemployed, currently studying",No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,3,,5
32,20,Female,Bosnian,Bosnia and Herzegovina,Bachelor Degree,"Electrical Engineering,1st year",Engineering,,None,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,5,5,4,,5
34,40,Male,French,Germany,Doctorate,,Engineering,,Thermal architect,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,4,5,5,4,5,5,5,,4
35,26,Male,Indian,India,Bachelor Degree,,Engineering,,Software Developer,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,3,,5
36,27,Male,Bosnian,BiH,Master Degree,,Engineering,,Network and system administrator,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,4,,5
41,26,Female,indian,Germany,Master Degree,,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,3,3,4,3,4,4,,3
42,25,Female,Bosnian ,Bosnia and Herzegovina,Bachelor Degree,Visual Art and Communication Design,Design,,Graphic designer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,5,5,5,4,4,5,,5
43,33,Male,Italian,Austria,Master Degree,Pursuing now a PhD degree,Engineering,,Analog Design Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
44,20,Female,BiH,Bosna i Hercegovina,High School,,Other,N/A,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
46,24,Male,German,Germany,Bachelor Degree,,Psychology,,Student,Yes,Yes,No,Yes,Desk_2,Bookshelf_1,Moving human_4,3,2,2,2,2,3,3,,4
48,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Electrical Engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,4,4,,4
49,37,Female,Syrian,Germany ,Master Degree,,Engineering,,Engineer ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,1,2,2,2,2,2,2,,2
50,20,Male,bih,bih,Bachelor Degree,,Engineering,,student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,4,4,4,4,3,3,,3
56,20,Female,Bosnian ,Bosnia and Herzegovina ,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Bookshelf_1,Moving human_4,4,4,3,4,3,4,3,,4
58,24,Male,INDIAN,INDIA,Bachelor Degree,COMPUTER ENGINEERING ,Design,,UX/UI DESIGNER,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
59,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,student,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,,5
60,20,Male,BiH,Bosnia and Herzegovina,High School,Madrasa,Other,N/A,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,3,4,2,4,3,,5
61,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,none,No,No,Yes,Yes,Chair_2,Human_4,Moving human_4,5,5,4,5,4,4,5,,4
62,20,Female,BiH,Bosnia and Herzegovina,Bachelor Degree,Electrical engineering,Engineering,,"Bachelor of electrical engineering, computing and informatics",No,No,No,Yes,Chair_2,Human_4,Moving human_4,1,1,2,2,1,1,1,,1
64,20,Female,Serbian,Serbia,High School,,Other,student,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,4,,4
65,20,Female,Bosniak,Bosnia and Herzegovina,High School,I finished high school and now I'm in the first year of the Faculty of Electrical Engineering in Sarajevo.,Engineering,,I'm a student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,4,5,,5
66,25,Male,Bosniak ,Sweden,Master Degree,Master degree in Computer Science with specialization in Intelligent Embedded systems ,Engineering,,PhD student in computer science ,No,No,No,Yes,Chair_2,Human_4,Rerouting,4,4,3,4,4,4,4,,5
