Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Somewhat disagreeStrongly disagree,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,Mathematics and Informatics ,Other,Student,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree
Somewhat disagreeNeutral,Somewhat disagreeStrongly disagree,Male,Bosnian and Herzegovinian,Bosnia and Herzegovina,High School,Currently enrolled in BA in Computer Science.,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Somewhat disagree6,Strongly disagree9,Male,Bosniak,Bosnia and Herzegovina,High School,"High School name : ""Prva gimnazija Sarajevo"", language major",Engineering,,Electrical engineering,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat disagree8,Somewhat disagreeNeutral,Female,Indian,Germany ,Bachelor Degree,Psychology ,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree
NeutralSomewhat disagree,Somewhat disagree7,Male,Bosnia and Herzegovina ,Bosnia and Herzegovina ,Master Degree,,Information Services,,Project Manager ,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
NeutralSomewhat agree,Somewhat disagree7,Male,Bosnian/Croatian,Germany,Master Degree,"M.Sc. Electrical Engineering, Automation and Safety, Automation and Control Engineering",Engineering,,Scientific Researcher at University,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NeutralStrongly agree,Somewhat disagreeSomewhat agree,Female,Indian,United Kingdom ,Master Degree,,Psychology,,Assistant psychologist ,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Neutral6,Somewhat disagree9,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,,Engineering,,Quality Assurance Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
Neutral8,Somewhat disagreeSomewhat agree,Female,Indian,India,Master Degree,,Psychology,,Therapist ,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Neutral9,Somewhat disagreeStrongly agree,Male,Indian,Germany,Bachelor Degree,Computer Engineering,AI/Robotics,,Working student Embedded AI,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
Somewhat agree0,NeutralStrongly disagree,Male,Bosnian,Germany,Master Degree,,Engineering,,Software Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agreeStrongly disagree,Somewhat disagree9,Male,syrian,Germany,High School,,Engineering,,Computer science engineering,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat agreeSomewhat disagree,Somewhat disagreeSomewhat disagree,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agreeNeutral,Somewhat disagree0,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
Somewhat agreeSomewhat agree,Somewhat disagreeSomewhat agree,Male,Indian,Germany,Bachelor Degree,,Information Services,,Software Developer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly agree,Somewhat agree,Neutral
Somewhat agree7,Neutral7,Female,Egyptian,Egypt,Bachelor Degree,,Other,Computer science,Video editor,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat agree8,Somewhat disagreeNeutral,Male,Bosnian,Bosnia and Herzegovina ,Other,Student,Other,N/A,N/A,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
Somewhat agree9,Somewhat disagree6,Male,Spanish,Spain,Master Degree,,Education,,Predoctoral Researcher,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
