Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,I could see the reasons behind choosing this method (textual) for the explanation.,The explanation describes the robot's actions/behaviors efficiently.,"With the explanation provided, I'm able to predict the behavior of the robot.",The explanation describes the robot's actions and situation completely​​​​​.,Total time
Neutral9,Somewhat disagree0,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,Unemployed,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,60Neutral.7Somewhat agree
Somewhat agreeStrongly disagree,Somewhat disagreeStrongly disagree,Male,Bosnian,Bosnia and Herzegovina,High School,I'm studying for Bachelor Degree,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagreeSomewhat disagreeStrongly agreeNeutral.0Strongly disagree
Somewhat agreeStrongly agree,NeutralNeutral,Male,German,Germany,Master Degree,na,AI/Robotics,na,Grad Student,Yes,Yes,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree77.6Somewhat agree
Somewhat agree8,Somewhat disagreeSomewhat agree,Male,Turkey,Turkey,Bachelor Degree,na,Engineering,na,Petroleum Subsea Engineer,No,No,No,Yes,Chair_Somewhat disagree,Sofa_Neutral,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly disagree97.Somewhat disagreeStrongly disagree
Strongly agreeStrongly disagree,Somewhat disagree0,Female, Bosnia and Herzegovina,Bosnia and Herzegovina,High School,Electrical engineering student,Other,Student,Student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral0Somewhat disagree8.77
Strongly agreeSomewhat disagree,Neutral0,Male,Indian,India,Master Degree,na,Other,It,Project Manager,No,Yes,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagreeStrongly agreeSomewhat disagree.78
Strongly agree9,Somewhat disagree6,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,na,Engineering,na,Telecommunications,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral0Neutral.Strongly disagree
60,Somewhat disagreeSomewhat disagree,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,Still on Bachelor degree program.,Engineering,na,Software engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree7Strongly disagreeSomewhat disagree.88
6Strongly disagree,Somewhat disagreeStrongly agree,Female,syrian,Germany,Bachelor Degree,Medical engineering,Other,n/a,student,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Rerouting,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Somewhat disagree,Strongly disagree7Strongly agreeStrongly disagree.8Neutral
6Somewhat disagree,Somewhat disagreeStrongly disagree,Male,BiH,BiH,High School,Electrical Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,69Somewhat disagree.Somewhat agreeStrongly agree
