Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,Q6
24,21,Male,bosnian,Bosnia and Herzegovina,High School,,Engineering,,IT,No,No,No,Yes,Desk_2,Bookshelf_1,Rerouting,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,,Somewhat agree
26,22,Female,Bosnia & Herzegovina,Bosnia & Herzegovina,High School,,Engineering,,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Strongly agree
27,20,Male,Bosniak,Bosnia and Herzegovina,High School,Electrical technician of computer and informatics,Other,N/A,Bachelor student ETF Sarajevo ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat agree
28,20,Male,Bosnian,Bosnia And Hercegovina,High School,Elektrotehničar računarske tehnike i automatike,Engineering,,Unemployed ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,,Somewhat agree
29,22,Male,BiH,BiH,High School,,Engineering,,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
31,21,Female,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student of computer science and informatics,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Somewhat agree,Somewhat disagree,,Strongly agree
32,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,,Strongly agree
33,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Other,N/A,N/A (student),No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,,Neutral
35,21,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
36,19,Male,BiH,Bosnia and Herzegovina,High School,,Other,Student,Studying at ETF Sarajevo,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
37,21,Male,Bosnian,Bosnia & Herzegovina,High School,,Other,N/A,student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
39,20,Male,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Unemployed,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
41,21,Male,Bosnian,Bosnia and Herzegovina,High School,I'm studying for Bachelor Degree,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat disagree,,Somewhat agree
45,33,Male,German,Germany,Master Degree,,AI/Robotics,,Grad Student,Yes,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,,Strongly disagree
48,24,Male,Turkey,Turkey,Bachelor Degree,,Engineering,,Petroleum Subsea Engineer,No,No,No,Yes,Chair_2,Sofa_3,Rerouting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree
51,20,Female, Bosnia and Herzegovina,Bosnia and Herzegovina,High School,Electrical engineering student,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat agree
52,30,Male,Indian,India,Master Degree,,Other,It,Project Manager,No,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
59,26,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,,Engineering,,Telecommunications,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,,Somewhat agree
60,22,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,Still on Bachelor degree program.,Engineering,,Software engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat agree
61,25,Female,syrian,Germany,Bachelor Degree,Medical engineering,Other,n/a,student,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Neutral,Somewhat disagree,,Strongly disagree
62,21,Male,BiH,BiH,High School,Electrical Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,,Neutral
70,28,Female,BiH,BIH,Master Degree,,Engineering,,Business analyst,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree
72,20,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,,Other,student,none,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,,Neutral
73,23,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,,Strongly agree
75,22,Male,Bosnian,Bosnia and Herzegovina,High School,Currently studying in Faculty of Electrical Engineering,Engineering,,"Well kinda programmer in future, right now STUDENT ",No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,,Neutral
76,21,Female,bih,bih,High School,,Engineering,,student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,,Somewhat disagree
78,20,Female,Bosnian,Bosnia and Herzegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,,Strongly agree
79,21,Male,Bosniak,Bosnia and Herzegovina,Bachelor Degree,,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,,Somewhat agree
80,20,Female,Bosniak,Bosnia and Herzegovina,High School,,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,Strongly agree
81,26,Female,Turkish,Germany,Bachelor Degree,Psychology,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,,Neutral
82,21,Male,Bosnian,Bosnia & Herzegovina,High School,,Engineering,,Frontend web development,No,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,Neutral
85,20,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,,Neutral
