Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,I could see the reasons behind choosing this method (visual) for the explanation.,The explanation describes the robot's actions/behaviors efficiently.,"With the explanation provided, I'm able to predict the behavior of the robot.",The explanation describes the robot's actions and situation completely​​​​​.
Somewhat agreeSomewhat disagree,Somewhat disagreeStrongly agree,Female,Bosnian ,Bosnia and Herzegovina,Bachelor Degree,Visual Art and Communication Design,Design,,Graphic designer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
Somewhat agreeNeutral,NeutralNeutral,Male,Italian,Austria,Master Degree,Pursuing now a PhD degree,Engineering,,Analog Design Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agreeSomewhat agree,Somewhat disagree0,Female,BiH,Bosna i Hercegovina,High School,,Other,N/A,student,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Somewhat agree6,Somewhat disagreeSomewhat agree,Male,German,Germany,Bachelor Degree,,Psychology,,Student,Yes,Yes,No,Yes,Desk_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral
Somewhat agree8,Somewhat disagree0,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Electrical Engineer,No,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Somewhat agree9,Neutral7,Female,Syrian,Germany ,Master Degree,,Engineering,,Engineer ,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree
Strongly agree0,Somewhat disagree0,Male,bih,bih,Bachelor Degree,,Engineering,,student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral
Strongly agreeNeutral,Somewhat disagreeSomewhat agree,Female,indian,germany,Bachelor Degree,,Engineering,,student,Yes,No,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agreeStrongly agree,Somewhat disagreeStrongly disagree,Male,Bosniak,Bosnia and Herzegovina,High School,,Engineering,,Student,No,Yes,No,Yes,Chair_Somewhat disagree,Human_Somewhat agree,Moving human_Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Strongly agree6,Somewhat disagree0,Female,Bosnian ,Bosnia and Herzegovina ,High School,,Other,N/A,N/A,No,No,No,Yes,Chair_Somewhat disagree,Bookshelf_Strongly disagree,Moving human_Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral
