Response ID,Age,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,How was the second obstruction cleared?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,I could see the reasons behind choosing this method (textual) for the explanation.,The explanation describes the robot's actions/behaviors efficiently.,"With the explanation provided, I'm able to predict the behavior of the robot.",The explanation describes the robot's actions and situation completely​​​​​.,Total time
23,20,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,5,5,4,5,5,5,1782.92
24,21,Male,bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,IT,No,No,No,Yes,Desk_2,Bookshelf_1,Rerouting,2,3,3,2,4,4,3,3,4,590.24
27,20,Male,Bosniak,Bosnia and Herzegovina,High School,Electrical technician of computer and informatics,Other,N/A,Bachelor student ETF Sarajevo ,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,4,4,4,4,5,4,4,645.52
28,20,Male,Bosnian,Bosnia And Hercegovina,High School,Elektrotehničar računarske tehnike i automatike,Engineering,na,Unemployed ,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,4,5,4,4,3,4,4,4,5,778.14
29,22,Male,BiH,BiH,High School,na,Engineering,na,Student,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,3,4,5,5,5,4,824.82
31,21,Female,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,Student of computer science and informatics,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,3,3,3,5,4,2,2,1675.64
32,20,Female,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,4,4,5,4,5,3,5,4,725.85
33,20,Male,Bosnian,Bosnia and Herzegovina,High School,na,Other,N/A,N/A (student),No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,4,3,5,4,3,976.44
35,21,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,5,5,5,5,5,5,4,1968.54
36,19,Male,BiH,Bosnia and Herzegovina,High School,na,Other,Student,Studying at ETF Sarajevo,Yes,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,3,4,4,5,5,5,5,4,1425.51
37,21,Male,Bosnian,Bosnia & Herzegovina,High School,na,Other,N/A,student,No,Yes,No,Yes,Chair_2,Human_4,Moving human_4,5,4,5,5,5,5,5,4,5,942.65
39,20,Male,Bosnian,Bosnia and Herzegovina,High School,na,Engineering,na,Unemployed,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,5,5,5,5,603.74
41,21,Male,Bosnian,Bosnia and Herzegovina,High School,I'm studying for Bachelor Degree,Other,N/A,N/A,No,No,No,Yes,Chair_2,Human_4,Moving human_4,4,4,3,3,4,4,3,4,2,2253.01
45,33,Male,German,Germany,Master Degree,na,AI/Robotics,na,Grad Student,Yes,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,1,2,1,2,2,1,2,1,1,177.64
48,24,Male,Turkey,Turkey,Bachelor Degree,na,Engineering,na,Petroleum Subsea Engineer,No,No,No,Yes,Chair_2,Sofa_3,Rerouting,4,4,4,4,5,5,5,3,4,197.21
51,20,Female, Bosnia and Herzegovina,Bosnia and Herzegovina,High School,Electrical engineering student,Other,Student,Student,No,No,No,Yes,Chair_2,Human_4,Moving human_4,3,3,4,4,2,4,4,2,4,3028.77
52,30,Male,Indian,India,Master Degree,na,Other,It,Project Manager,No,Yes,No,Yes,Chair_2,Bookshelf_1,Rerouting,5,5,5,5,5,5,5,5,5,252.78
59,26,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,na,Engineering,na,Telecommunications,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,3,4,4,4,3,4,4,4,3,303.1
60,22,Male,Bosnian,Bosnia and Herzegovina,Bachelor Degree,Still on Bachelor degree program.,Engineering,na,Software engineer,No,No,No,Yes,Chair_2,Human_4,Moving human_4,5,5,5,5,5,4,5,4,5,5712.88
61,25,Female,syrian,Germany,Bachelor Degree,Medical engineering,Other,n/a,student,No,No,No,Yes,Chair_2,Bookshelf_1,Rerouting,2,2,2,3,1,1,3,4,2,1751.83
62,21,Male,BiH,BiH,High School,Electrical Engineering ,Other,N/A,N/A,Yes,No,No,Yes,Chair_2,Human_4,Moving human_4,3,2,3,4,4,3,2,4,5,692.45
